cik,name,country,form,filing_date,report_date,fy,accession,primary_doc
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2021-04-08,2020-12-31,2020,0001628280-21-006710,kof-20201231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2022-04-11,2021-12-31,2021,0001628280-22-008868,kof-20211231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2023-04-17,2022-12-31,2022,0001628280-23-011683,kof-20221231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2024-04-12,2023-12-31,2023,0001628280-24-016091,kof-20231231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2025-04-10,2024-12-31,2024,0001628280-25-017225,kof-20241231.htm
910631,COCA COLA FEMSA SAB DE CV,Mexico,20-F,2026-04-16,2025-12-31,2025,0001628280-26-025313,kof-20251231.htm
912505,ENEL AMERICAS S.A.,Chile,20-F,2018-04-30,2017-12-31,2017,0001564590-18-009655,enia-20f_20171231.htm
912505,ENEL AMERICAS S.A.,Chile,20-F,2019-04-29,2018-12-31,2018,0001104659-19-024154,a19-8582_120f.htm
912505,ENEL AMERICAS S.A.,Chile,20-F,2020-04-30,2019-12-31,2019,0001558370-20-004766,enia-20191231x20f.htm
912505,ENEL AMERICAS S.A.,Chile,20-F,2021-04-30,2020-12-31,2020,0001558370-21-005380,enia-20201231x20f.htm
912505,ENEL AMERICAS S.A.,Chile,20-F,2022-04-29,2021-12-31,2021,0001558370-22-006506,enia-20211231x20f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2018-04-30,2017-12-31,2017,0001104659-18-028648,a18-7308_120f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2019-04-30,2018-12-31,2018,0001104659-19-025398,a18-41741_120f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2020-04-30,2019-12-31,2019,0001104659-20-054509,tm1919152d1_20f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2021-04-30,2020-12-31,2020,0001104659-21-059010,tm211632d1_20f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2022-04-29,2021-12-31,2021,0001104659-22-053835,tv-20211231x20f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2023-04-28,2022-12-31,2022,0001104659-23-053026,tv-20221231x20f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2024-04-30,2023-12-31,2023,0001104659-24-055002,tv-20231231x20f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2025-04-30,2024-12-31,2024,0001410578-25-001050,tv-20241231x20f.htm
912892,"GRUPO TELEVISA, S.A.B.",Mexico,20-F,2026-04-30,2025-12-31,2025,0001104659-26-052976,tv-20251231x20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2018-05-02,2017-12-31,2017,0000950103-18-005766,dp90229_20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2019-05-10,2018-12-31,2018,0000950103-19-006271,dp106515_20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2020-04-27,2019-12-31,2019,0001193125-20-120341,d913710d20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2021-04-15,2020-12-31,2020,0001193125-21-117722,d32791d20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2022-04-12,2021-12-31,2021,0001193125-22-102916,d291998d20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2023-04-26,2022-12-31,2022,0001193125-23-118482,d264052d20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2024-04-17,2023-12-31,2023,0001193125-24-099078,d595174d20f.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2025-04-04,2024-12-31,2024,0001628280-25-016788,bbar-20241231.htm
913059,Banco BBVA Argentina S.A.,Argentina,20-F,2026-04-09,2025-12-31,2025,0001628280-26-024441,bbar-20251231.htm
917851,Vale S.A.,Brazil,20-F,2022-04-14,2021-12-31,2021,0001104659-22-046078,vale-20211231x20f.htm
917851,Vale S.A.,Brazil,20-F,2023-04-13,2022-12-31,2022,0001292814-23-001516,valeform20f_2022.htm
917851,Vale S.A.,Brazil,20-F,2024-04-19,2023-12-31,2023,0001292814-24-001463,valeform20f_2023.htm
917851,Vale S.A.,Brazil,20-F,2025-03-28,2024-12-31,2024,0001292814-25-001137,valeform20f_2024.htm
917851,Vale S.A.,Brazil,20-F,2026-03-27,2025-12-31,2025,0001292814-26-001844,valeform20f_2025.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2018-04-27,2017-12-31,2017,0001104659-18-027414,a18-6298_120f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2019-04-25,2018-12-31,2018,0001104659-19-023624,a19-2804_120f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2020-04-29,2019-12-31,2019,0001104659-20-053223,tm2011683-1_20f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2021-04-28,2020-12-31,2020,0001104659-21-056483,tm2038578d1_20f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2022-04-27,2021-12-31,2021,0001104659-22-051183,akoa-20220426x20f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2023-04-26,2022-12-31,2022,0001104659-23-050351,akoa-20221231x20f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2024-03-27,2023-12-31,2023,0001104659-24-039707,akoa-20231231x20f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2025-03-26,2024-12-31,2024,0001410578-25-000473,akoa-20241231x20f.htm
925261,ANDINA BOTTLING CO INC,Chile,20-F,2026-04-01,2025-12-31,2025,0001104659-26-038506,akoa-20251231x20f.htm
926864,ENEL GENERACION CHILE S.A.,Chile,20-F,2018-04-27,2017-12-31,2017,0001564590-18-009410,eocc-20f_20171231.htm
926864,ENEL GENERACION CHILE S.A.,Chile,20-F,2019-04-30,2018-12-31,2018,0001104659-19-025081,a19-8584_120f.htm
926864,ENEL GENERACION CHILE S.A.,Chile,20-F,2020-04-29,2019-12-31,2019,0001558370-20-004544,eocc-20191231x20f.htm
930543,CONCHA Y TORO WINERY INC,Chile,20-F,2018-04-27,2017-12-31,2017,0001019056-18-000569,concha_20f.htm
930543,CONCHA Y TORO WINERY INC,Chile,20-F,2019-05-14,2018-12-31,2018,0001019056-19-000289,concha_20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2018-04-16,2017-12-31,2017,0001140361-18-018601,form20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2019-04-25,2018-12-31,2018,0001140361-19-007596,form20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2020-04-30,2019-12-31,2019,0001140361-20-010185,form20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2021-04-28,2020-12-31,2020,0001140361-21-014628,brhc10023618_20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2022-04-26,2021-12-31,2021,0001140361-22-015996,brhc10036660_20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2023-04-25,2022-12-31,2022,0001140361-23-020256,brhc20051753_20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2024-04-24,2023-12-31,2023,0001140361-24-021683,ef20015365_20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2025-04-24,2024-12-31,2024,0001140361-25-015473,ef20034691_20f.htm
931427,GAS TRANSPORTER OF THE SOUTH INC,Argentina,20-F,2026-04-22,2025-12-31,2025,0001140361-26-016167,ef20060824_20f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2018-04-20,2017-12-31,2017,0001104659-18-025642,a18-5108_120f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2019-03-27,2018-12-31,2018,0001104659-19-017491,a19-2958_120f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2020-03-18,2019-12-31,2019,0001104659-20-035428,tm2010840d1_20f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2021-03-25,2020-12-31,2020,0001104659-21-041569,tm2039636d1_20f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2022-03-22,2021-12-31,2021,0001104659-22-036418,teo-20211231x20f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2023-03-20,2022-12-31,2022,0001104659-23-034541,teo-20221231x20f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2024-03-21,2023-12-31,2023,0001104659-24-037229,teo-20231231x20f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2025-02-28,2024-12-31,2024,0001104659-25-019133,teo-20241231x20f.htm
932470,TELECOM ARGENTINA SA,Argentina,20-F,2026-03-11,2025-12-31,2025,0001104659-26-026480,teo-20251231x20f.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2018-04-30,2017-12-31,2017,0001193125-18-143901,d556653d20f.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2019-04-30,2018-12-31,2018,0001193125-19-129698,d632951d20f.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2020-05-08,2019-12-31,2019,0001193125-20-136835,d850870d20f.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2021-05-17,2020-12-31,2020,0001193125-21-162651,d106092d20f.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2022-04-29,2021-12-31,2021,0001193125-22-134002,d310515d20f.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2023-04-28,2022-12-31,2022,0000932782-23-000004,ck0000932782-20221231.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2024-04-30,2023-12-31,2023,0000932782-24-000004,ck0000932782-20231231.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2025-04-29,2024-12-31,2024,0000932782-25-000008,ck0000932782-20241231.htm
932782,MEXICAN PETROLEUM,Mexico,20-F,2026-04-30,2025-12-31,2025,0000932782-26-000006,ck0000932782-20251231.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2017-10-31,2017-10-31,2017,0001654954-17-009856,fs300617vf4.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2018-10-31,2018-10-31,2018,0001654954-18-011798,a20firsa.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2019-10-31,2019-06-30,2019,0001654954-19-012196,a20firsa.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2020-11-16,2020-06-30,2020,0001654954-20-012504,irsafs.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2021-10-20,2021-06-30,2021,0001568276-21-001788,irsa_20f.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2022-10-26,2022-06-30,2022,0001654954-22-014187,irsa_20f.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2023-10-20,2023-06-30,2023,0001654954-23-013174,irsa_20f.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2024-10-23,2024-06-30,2024,0001654954-24-013232,irsa_20f.htm
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,Argentina,20-F,2025-10-24,2025-06-30,2025,0001654954-25-012190,irsa_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2018-04-26,2017-12-31,2017,0001144204-18-022710,tv487497_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2019-04-30,2018-12-31,2018,0001144204-19-022382,tv515281_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2020-05-29,2019-12-31,2019,0001104659-20-067820,tm206802d1_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2021-04-28,2020-12-31,2020,0001104659-21-056535,tm214045d1_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2022-04-26,2021-12-31,2021,0001140361-22-015994,brhc10036623_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2023-04-26,2022-12-31,2022,0001140361-23-020347,brhc20051793_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2024-04-24,2023-12-31,2023,0001140361-24-021786,ef20018743_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2025-04-25,2024-12-31,2024,0001140361-25-015768,ef20038949_20f.htm
1001290,CREDICORP LTD,Peru,20-F,2026-04-27,2025-12-31,2025,0001001290-26-000008,bap-20251231.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2018-03-01,2017-12-31,2017,0001047469-18-001211,a2234122z10-k.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2019-03-01,2018-12-31,2018,0001047469-19-000845,a2237832z10-k.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2020-02-28,2019-12-31,2019,0001558370-20-001781,scco-20191231x10k32f1e0.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2021-02-26,2020-12-31,2020,0001558370-21-001894,scco-20201231x10k.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2022-03-07,2021-12-31,2021,0001558370-22-002968,scco-20211231x10k.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2023-02-28,2022-12-31,2022,0001558370-23-002328,scco-20221231x10k.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2024-02-29,2023-12-31,2023,0001558370-24-002119,scco-20231231x10k.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2025-03-03,2024-12-31,2024,0001558370-25-002017,scco-20241231x10k.htm
1001838,SOUTHERN COPPER CORP/,Peru,10-K,2026-02-27,2025-12-31,2025,0001104659-26-021492,scco-20251231x10k.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2018-04-30,2017-12-31,2017,0001144204-18-023941,tv488578_20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2019-05-01,2018-12-31,2018,0001144204-19-022630,tv519058_20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2020-04-10,2019-12-31,2019,0001104659-20-045603,tm206798d1_20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2021-04-30,2020-12-31,2020,0001104659-21-059081,tm214042d1_20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2022-05-13,2021-12-31,2021,0001104659-22-060511,tmb-20211231x20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2023-05-01,2022-12-31,2022,0001410578-23-000850,tmb-20221231x20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2024-05-01,2023-12-31,2023,0001410578-24-000577,tmb-20231231x20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2025-04-30,2024-12-31,2024,0001410578-25-001056,tmb-20241231x20f.htm
1013131,BUENAVENTURA MINING CO INC,Peru,20-F,2026-04-30,2025-12-31,2025,0001104659-26-053101,tmb-20251231x20f.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2018-03-28,2017-12-31,2017,0000950103-18-003835,dp88538_20f.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2019-03-22,2018-12-31,2018,0001615774-19-004410,s116771_20f.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2020-03-06,2019-12-31,2019,0000950103-20-004862,dp122070_20f.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2021-02-26,2020-12-31,2020,0000950103-21-003159,dp145968_20f.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2022-02-25,2021-12-31,2021,0001213900-22-009472,f20f2021_bancosantan.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2023-02-23,2022-12-31,2022,0001213900-23-013772,f20f2022_bancosantan.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2024-02-22,2023-12-31,2023,0001213900-24-015910,f20f2023_bancosant.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2025-02-28,2024-12-31,2024,0001027552-25-000035,bsac-20241231.htm
1027552,BANCO SANTANDER CHILE,Chile,20-F,2026-02-27,2025-12-31,2025,0001027552-26-000038,bsac-20251231.htm
1034957,CRESUD INC,Argentina,20-F,2017-10-31,2017-10-31,2017,0001654954-17-009858,fscresudconsolidado20-f30.htm
1034957,CRESUD INC,Argentina,20-F,2018-10-31,2018-10-31,2018,0001654954-18-011801,cresud20f.htm
1034957,CRESUD INC,Argentina,20-F,2019-10-31,2019-06-30,2019,0001654954-19-012197,a20fcresud.htm
1034957,CRESUD INC,Argentina,20-F,2020-11-16,2020-06-30,2020,0001654954-20-012514,cresudfs.htm
1034957,CRESUD INC,Argentina,20-F,2021-11-01,2021-06-30,2021,0001568276-21-001919,cresy_20f.htm
1034957,CRESUD INC,Argentina,20-F,2022-10-28,2022-06-30,2022,0001654954-22-014335,abc_20f.htm
1034957,CRESUD INC,Argentina,20-F,2023-10-20,2023-06-30,2023,0001654954-23-013226,cresud_20f.htm
1034957,CRESUD INC,Argentina,20-F,2024-10-23,2024-06-30,2024,0001654954-24-013234,cresud_20f.htm
1034957,CRESUD INC,Argentina,20-F,2025-10-24,2025-06-30,2025,0001654954-25-012195,cresud_20f.htm
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,20-F,2018-04-30,2017-12-31,2017,0001292814-18-001444,cbdform20f_2017.htm
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,20-F,2019-04-30,2018-12-31,2018,0001292814-19-001549,cbdform20f_2018.htm
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,20-F,2020-12-01,2019-12-31,2019,0001292814-20-004575,cbdform20f_2019.htm
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,20-F,2021-04-30,2020-12-31,2020,0001292814-21-001951,cbdform20f_2020.htm
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,20-F,2022-05-16,2021-12-31,2021,0001292814-22-002320,cbdform20f_2021.htm
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,20-F,2023-08-16,2022-12-31,2022,0001292814-23-003634,cbdform20f_2022.htm
1038572,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,Brazil,20-F,2024-06-28,2023-12-31,2023,0001292814-24-002600,cbdform20f_2023.htm
1041792,ENERGY CO OF PARANA,Brazil,20-F,2020-04-27,2019-12-31,2019,0001292814-20-001451,elpform20f_2019.htm
1041792,ENERGY CO OF PARANA,Brazil,20-F,2021-04-20,2020-12-31,2020,0001292814-21-001623,elpform20f_2020.htm
1041792,ENERGY CO OF PARANA,Brazil,20-F,2022-04-28,2021-12-31,2021,0001292814-22-001848,elpform20f_2021.htm
1041792,ENERGY CO OF PARANA,Brazil,20-F,2023-04-27,2022-12-31,2022,0001292814-23-001843,elpform20f_2022.htm
1041792,ENERGY CO OF PARANA,Brazil,20-F,2024-04-11,2023-12-31,2023,0001292814-24-001329,elpform20f_2023.htm
1041792,ENERGY CO OF PARANA,Brazil,20-F,2025-04-17,2024-12-31,2024,0001628280-25-018102,elp-20241231.htm
1041792,ENERGY CO OF PARANA,Brazil,20-F,2026-04-16,2025-12-31,2025,0002070979-26-000155,elpc-20251231.htm
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,20-F,2018-04-27,2017-12-31,2017,0001144204-18-023204,tv491116_20f.htm
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,20-F,2019-04-29,2018-12-31,2018,0001144204-19-021974,tv518925_20f.htm
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,20-F,2020-04-29,2019-12-31,2019,0001104659-20-053509,tm206800d1_20f.htm
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,20-F,2021-04-29,2020-12-31,2020,0001104659-21-057737,tm214048d1_20f.htm
1044896,Industrias Bachoco S.A.B. de C.V.,Mexico,20-F,2022-04-29,2021-12-31,2021,0001410578-22-001105,iba-20211231x20f.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2018-04-05,2017-12-31,2017,0001615774-18-002424,s109445_20f.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2019-04-15,2018-12-31,2018,0001615774-19-005727,s116906_20f.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2020-03-19,2019-12-31,2019,0001213900-20-006807,f20f2019_latamairlines.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2021-03-10,2020-12-31,2020,0001213900-21-014439,f20f2020_latamairlinesgroup.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2022-03-30,2021-12-31,2021,0001213900-22-015962,f20f2021_latamairlines.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2023-03-10,2022-12-31,2022,0001213900-23-019107,f20f2022_latamairlines.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2024-02-22,2023-12-31,2023,0001628280-24-006398,ltm-20231231.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2025-03-13,2024-12-31,2024,0001628280-25-012639,ltm-20241231.htm
1047716,LATAM AIRLINES GROUP S.A.,Chile,20-F,2026-03-05,2025-12-31,2025,0001047716-26-000046,ltm-20251231.htm
